"Title","Date","Location","Mashup"
"Long Live",2024-12-08,"Vancouver","(mashup with ""New Year's Day"" and ""The Manuscript"")"
"Ours",2023-03-31,"Arlington",NA
"Ours",2024-06-29,"Dublin","(mashup with ""This Love"")"
"Ours",2024-11-22,"Toronto","(mashup with ""the last great american dynasty"")"
"Superman",2024-02-09,"Tokyo",NA
"Electric Touch",2024-02-08,"Tokyo",NA
"When Emma Falls in Love",2023-07-07,"Kansas City",NA
"I Can See You",2023-08-03,"Los Angeles",NA
"I Can See You",2024-06-13,"Liverpool","(mashup with ""Mine"")"
"I Can See You",2024-08-02,"Warsaw","(mashup with ""I Can Fix Him (No Really I Can)"
"Castles Crumbling",2023-07-28,"Santa Clara",NA
"Castles Crumbling",2024-06-22,"London",NA
"Foolish One",2024-03-04,"Singapore","(mashup with ""Tell Me Why"")"
"Timeless",2023-07-14,"Denver",NA
"Timeless",2024-10-18,"Miami","(mashup with ""Tim McGraw"")"
"State Of Grace",2023-03-18,"Glendale",NA
"State Of Grace",2024-06-28,"Dublin","(mashup with ""You're On Your Own Kid"")"
"State Of Grace",2024-11-21,"Toronto","(mashup with ""Labyrinth"")"
"Red",2023-05-21,"Foxborough",NA
"Red",2024-02-16,"Melbourne",NA
"Red",2024-06-15,"Liverpool","(mashup with ""The Manuscript"")"
"Red",2024-07-14,"Milan","(mashup with ""Mr. Perfectly Fine"")"
"Red",2024-08-02,"Warsaw","(mashup with ""Maroon"")"
"Treacherous",2023-04-13,"Tampa",NA
"Treacherous",2024-05-12,"Paris","(mashup with ""The Alchemy"")"
"I Almost Do",2023-06-09,"Detroit",NA
"I Almost Do",2024-07-13,"Milan","(mashup with ""The Moment I Knew"")"
"Stay Stay Stay",2023-07-29,"Santa Clara",NA
"Stay Stay Stay",2024-07-19,"Gelsenkirchen","(mashup with ""Paper Rings"")"
"The Last Time",2023-06-16,"Pittsburgh",NA
"The Last Time",2024-07-23,"Hamburg","(mashup with ""Teardrops On My Guitar"")"
"Holy Ground",2023-05-27,"East Rutherford",NA
"Holy Ground",2024-02-07,"Tokyo",NA
"Holy Ground",2024-07-06,"Amsterdam","(mashup with ""Sweeter Than Fiction"")"
"Holy Ground",2024-11-01,"Indianapolis","(mashup with ""The Albatross"")"
"Sad Beautiful Tragic",2023-03-31,"Arlington",NA
"Sad Beautiful Tragic",2024-07-09,"Zurich","(mashup with ""Last Kiss"")"
"Sad Beautiful Tragic",2024-08-16,"London","(mashup with ""Dear John"")"
"The Lucky One",2023-04-02,"Arlington",NA
"The Lucky One",2024-06-30,"Dublin","(mashup with ""Clara Bow"")"
"Everything Has Changed",2023-07-22,"Seattle",NA
"Everything Has Changed",2024-06-03,"Lyon","(mashup with ""Glitch"")"
"Everything Has Changed",2024-07-06,"Amsterdam","(mashup with ""So High School"" and ""Mary's Song (Oh My My My)"
"Everything Has Changed",2024-08-15,"London","(mashup with ""End Game"" and ""Thinking Out Loud"")"
"Starlight",2023-07-15,"Denver",NA
"Starlight",2024-03-02,"Singapore","(mashup with ""Mine"")"
"Begin Again",2023-04-23,"Houston",NA
"Begin Again",2024-05-12,"Paris","(mashup with ""Paris"")"
"The Moment I Knew",2023-06-04,"Chicago",NA
"The Moment I Knew",2024-07-13,"Milan","(mashup with ""I Almost Do"")"
"Come Back...Be Here",2023-05-12,"Philadelphia",NA
"Come Back...Be Here",2024-02-18,"Melbourne","(mashup with ""Daylight"")"
"Come Back...Be Here",2024-05-24,"Lisbon","(mashup with ""The Way I Loved You"" adnd ""The Other Side Of The Door"")"
"Come Back...Be Here",2020-06-21,"London","(mashup with ""The Black Dog"" and ""Maroon"")"
"Girl At Home",NA,NA,NA
"Ronan",NA,NA,NA
"Better Man",2023-05-19,"Foxborough",NA
"Better Man",2024-07-19,"Gelsenkirchen","(mashup with ""it's time to go"")"
"Nothing New",2024-07-24,"Hamburg","(mashup with ""Dear Reader"")"
"Babe",2024-03-07,"Singapore","(mashup with ""Death By A Thousand Cuts"")"
"Message In A Bottle",2023-07-23,"Seattle",NA
"Message In A Bottle",2024-05-19,"Toronto","(mashup with ""How You Get The Girl"" and ""New Romantics"" for Max Martin)"
"I Bet You Think About Me",NA,"Atlanta",NA
"Forever Winter",NA,NA,NA
"Run",2024-07-24,"Hamburg","(mashup with ""the last great american dynasty"")"
"The Very First Night",2023-11-09,"Buenos Aires",NA
"Eyes Open",2024-02-08,"Tokyo",NA
"Safe & Sound",2023-11-25,"São Paulo",NA
"Welcome To New York",2023-05-28,"East Rutherford",NA
"Welcome To New York",2024-05-18,"Stockholm","(mashup with ""Say Don't Go"" and ""Clean"")"
"Welcome To New York",2024-10-26,"New Orleans","(mashup with ""Hits Different"")"
"Out Of The Woods",2023-05-06,"Nashville",NA
"Out Of The Woods",2023-11-11,"Buenos Aires","(mashup with ""Is It Over Now?"")"
"Out Of The Woods",2024-05-10,"Paris","(mashup with ""Is It Over Now?"")"
"Out Of The Woods",2024-06-23,"London","(mashup with ""Is It Over Now?"" and ""Clean"")"
"Out Of The Woods",2024-07-14,"Milan","(mashup with ""Getaway Car"")"
"Out Of The Woods",2024-10-20,"Miami","(mashup with ""All You Had To Do Was Stay"")"
"Out Of The Woods",2024-11-16,"Toronto","(mashup with ""us."")"
"All You Had To Do Was Stay",2023-06-10,"Detroit",NA
"All You Had To Do Was Stay",2024-07-09,"Zurich","(mashup with ""right where you left me"")"
"All You Had To Do Was Stay",2024-10-20,"Miami","(mashup with ""Out Of The Woods"")"
"I Wish You Would",2023-06-02,"Chicago",NA
"I Wish You Would",2024-02-25,"Sydney","(mashup with ""Is It Over Now?"")"
"How You Get The Girl",2023-04-30,"Atlanta",NA
"How You Get The Girl",2024-02-23,"Sydney",NA
"How You Get The Girl",2024-05-19,"Stockholm","(mashup with ""Message In A Bottle"" and ""New Romantics"" for Max Martin)"
"How You Get The Girl",2024-10-27,"New Orleans","(mashup with ""Clean"")"
"This Love",2023-05-13,"Philadelphia",NA
"This Love",2024-03-04,"Singapore","(mashup with ""Call It What You Want"")"
"This Love",2024-06-29,"Dublin","(mashup with ""Ours"")"
"This Love",2024-11-02,"Indianapolis","(mashup with ""The Prophecy"")"
"I Know Places",2023-08-08,"Los Angeles",NA
"I Know Places",2024-06-07,"Edinburgh","(mashup with ""Would've, Could've, Should've"")"
"Clean",2023-04-01,"Arlington",NA
"Clean",2023-05-28,"East Rutherford",NA
"Clean",2024-03-03,"Singapore","(mashup with ""evermore"")"
"Clean",2024-05-18,"Stockholm","(mashup with ""Say Don't Go"" and ""Welcome To New York"")"
"Clean",2024-06-23,"London","(mashup with ""Out Of The Woods"" and ""Is It Over Now?"")"
