"Title","Date","Location","Mashup"
"I Can Fix Him (No Really I Can)",2024-05-29,"Madrid","(mashup with ""Sparks Fly"")"
"I Can Fix Him (No Really I Can)",2024-08-02,"Warsaw","(mashup with ""I Can See You"")"
"loml",2024-05-09,"Paris",NA
"loml",2024-07-28,"Munich","(mashup with ""Don't You"")"
"loml",2024-10-19,"Miami","(mashup with ""White Horse"")"
"The Alchemy",2024-05-12,"Paris","(mashup with ""Treacherous"")"
"The Alchemy",2024-08-15,"London","(mashup with ""King Of My Heart"")"
"Clara Bow",2024-06-30,"Dublin","(mashup with ""The Lucky One"")"
"Clara Bow",2024-08-01,"Warsaw","(mashup with ""mirrorball"")"
"The Black Dog",2020-06-21,"London","(mashup with ""Come Back...Be Here"" and ""Maroon"")"
"The Black Dog",2024-08-03,"Warsaw (mashup with ""exile""",NA
"The Black Dog",2024-10-25,"New Orleans","(mashup with ""Haunted"")"
"imgonnagetyouback",2024-07-05,"Amsterdam","(mashup with ""Dress"")"
"imgonnagetyouback",2024-07-28,"Munich","(mashup with ""I Don't Wanna Live Forever"")"
"The Albatross",2024-06-29,"Dublin","(mashup with ""Dancing With Our Hands Tied"")"
"The Albatross",2024-11-01,"Indianapolis","(mashup with ""Holy Ground"")"
"Chloe or Sam or Sophia or Marcus",2024-06-03,"Lyon",NA
"How Did It End?",2024-05-19,"Stockholm",NA
"How Did It End?",2024-11-23,"Toronto","(mashup with ""You're Losing Me"")"
"So High School",2024-07-06,"Amsterdam","(mashup with ""Mary's Song (Oh My My My)"
"I Hate It Here",2024-06-18,"Cardiff","(mashup with ""the lakes"")"
"thanK you aIMee",2024-06-22,"London","(mashup with ""Mean"")"
"I Look in People's Windows",2024-05-29,"Madrid","(mashup with ""Snow On The Beach"")"
"The Prophecy",2024-06-02,"Lyon","(mashup with ""long story short"")"
"The Prophecy",2024-11-02,"Indianapolis","(mashup with ""This Love)"
"Cassandra",2024-11-22,"Toronto","(mashup with ""mad woman"" and ""I Did Something Bad"")"
"Peter",2024-05-17,"Stockholm",NA
"Peter",2024-11-15,"Toronto","(mashup with ""evermore"")"
"The Bolter",2024-06-08,"Edinburgh","(mashup with ""Getaway Car"")"
"The Bolter",2024-11-03,"Indianapolis","(mashup with ""Cornelia Street"")"
"Robin",2024-07-10,"Zurich","(mashup with ""Never Grow Up"")"
"The Manuscript",2024-06-15,"Liverpool","(mashup with ""Red"")"
"The Manuscript",2024-12-08,"Vancouver","(mashup with ""Long Live"" and ""New Year's Day"")"
"I Don't Wanna Live Forever",2023-06-03,"Chicago",NA
"I Don't Wanna Live Forever",2024-03-02,"Singapore","(mashup with ""Dress"")"
"I Don't Wanna Live Forever",2024-07-28,"Munich","(mashup with ""imgonnagetyouback"")"
"I Don't Wanna Live Forever",2024-11-15,"Toronto","(mashup with ""Mine"")"
"I Miss You, I'm Sorry",2023-07-01,"Cincinnati",NA
"Crazier",2024-06-08,"Edinburgh","(mashup with ""All Of The Girls You Loved Before"")"
"This Is What You Came For",2024-06-14,"Liverpool","(mashup with ""gold rush"")"
"Carolina",2024-06-15,"Liverpool","(mashup with ""no body, no crime"")"
"us.",2024-06-23,"London",NA
"us.",2024-11-16,"Toronto","(mashup with ""Out Of The Woods"")"
"Thinking Out Loud",2024-08-15,"London","(mashup with ""Everything Has Changed"" and ""End Game"")"
"Espresso",2024-10-26,"New Orleans","(mashup with ""Is It Over Now?"" and ""Please Please Please"")"
"Please Please Please",2024-10-26,"New Orleans","(mashup with ""Espresso"" and ""Is It Over Now?"")"
"I Love You, I'm Sorry",2024-12-08,"Vancouver","(mashup with ""Last Kiss"")"
